host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_verifications,host_has_profile_pic,host_identity_verified,property_type,room_type,price,has_availability,instant_bookable,host_listings_count,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month,amenities_encoded
0,0,0.95,0,1.0,1,1,1,1,275.0,1,0,2.0,7.0,0,2.0,3,2.0,27.0,60,27.0,1125.0,1,60,90,90,0.0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2,0.05,539
1,1,0.99,1,1.0,1,1,0,1,144.0,1,0,1.0,1.0,0,1.0,1,1.0,1.0,1125,1.0,1125.0,0,40,61,151,53.0,4,4.97,4.98,4.98,4.99,4.98,4.97,4.92,1,4.86,524
1,1,0.99,0,1.0,1,1,0,0,32.0,1,0,5.0,5.0,1,2.5,1,2.0,1.0,1125,1.0,600.2,1,59,89,172,37.0,2,4.9,4.78,4.9,4.86,4.83,4.88,4.8,5,3.26,286
1,1,0.99,0,1.0,1,1,0,0,53.0,1,0,5.0,5.0,0,2.5,1,1.0,1.0,365,1.0,198.7,1,41,71,151,25.0,3,4.9,4.79,4.9,4.9,4.79,4.89,4.74,5,2.21,287
1,1,1.0,0,1.0,1,1,0,1,120.0,1,0,1.0,1.0,0,1.0,2,2.0,30.0,90,30.0,90.0,1,59,89,362,2.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,0.36,155
1,1,0.99,0,1.0,1,1,0,0,38.0,1,1,5.0,5.0,0,2.5,1,4.0,1.0,1125,1.0,610.1,1,60,90,170,48.0,2,4.9,4.9,4.9,4.9,4.77,4.83,4.9,5,2.17,286
1,1,0.99,0,1.0,1,1,0,0,40.0,1,1,5.0,5.0,0,2.5,1,3.0,1.0,1125,1.0,610.1,1,60,90,170,13.0,2,4.9,4.78,4.9,4.8,4.85,4.83,4.7,5,0.94,286
0,1,0.83,1,1.0,1,0,1,1,225.0,1,0,3.0,4.0,0,2.0,3,3.0,28.0,1125,28.0,1125.0,1,52,82,262,0.0,0,4.89,5.0,4.89,4.89,5.0,5.0,4.89,2,0.31,109
1,1,1.0,0,1.0,1,1,1,1,249.0,1,1,1.0,2.0,0,1.0,2,2.0,3.0,1125,3.0,1125.0,1,41,71,154,2.0,0,4.98,5.0,4.95,5.0,4.98,5.0,4.89,1,1.15,274
1,1,1.0,1,,1,1,1,1,181.0,1,0,2.0,2.0,0,1.0,2,2.0,1.0,30,2.1,843.1,1,43,73,249,34.0,2,4.92,4.88,4.92,4.92,5.0,4.96,4.8,1,2.26,48
1,1,0.99,0,1.0,1,1,0,0,75.0,1,0,5.0,5.0,0,2.5,1,1.0,1.0,365,1.0,198.7,1,45,72,150,17.0,2,4.9,4.77,4.9,4.87,4.87,4.93,4.9,5,1.45,287
1,1,1.0,1,1.0,1,1,0,1,132.0,1,0,1.0,1.0,0,1.0,1,1.0,2.0,14,2.0,1125.0,1,39,69,325,52.0,3,4.91,4.95,4.92,4.97,4.98,4.98,4.92,1,4.68,323
1,0,0.99,1,1.0,1,1,1,1,135.0,1,0,22.0,38.0,0,1.0,0,1.0,4.0,1125,5.4,1125.0,1,60,90,360,11.0,0,4.81,4.89,4.87,4.86,4.92,4.91,4.71,3,1.32,508
