,Unnamed: 0,    last_scraped,source,name,description,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,property_type,room_type,amenities,price,has_availability,first_review,last_review,instant_bookable,host_listings_count,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month
146,146,9/11/2024,previous scrape,"Stylish Two-Bedroom Near Dining, Trails & Downtown","The townhouse-style home was built in the 70's and was recently renovated with new floors, kitchen, and bathrooms.<br /><br />It features:<br /><br />-A large master bedroom which is lofted (partially open) over the living room. <br />-Private balcony off the master <br />-Guest bedroom with a queen bed<br />-Upstairs full bath with tub<br />-Downstairs full bath with shower <br />-Open-plan living room and renovated chef's kitchen<br />-Laundry room in unit <br />-Electric sauna <br />-Semi-private outdoor space with grill and dining area<br /><br />Permit 316716",Kay,28/05/2012,"Bozeman, MT","Software executive, Connecticut transplant in Montana, often travels with male nurse and chunky coonhound. ",within a day,98%,1,t,"['email', 'phone']",t,t,Bozeman,Entire townhouse,Entire home/apt,"[""Indoor fireplace: pellet stove"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Clothing storage: closet and dresser"", ""Portable fans"", ""Hangers"", ""Private entrance"", ""Shared backyard \u2013 Not fully fenced"", ""Laundromat nearby"", ""Carbon monoxide alarm"", ""Outdoor dining area"", ""Private sauna"", ""Stainless steel oven"", ""Free parking on premises"", ""Microwave"", ""Outdoor furniture"", ""55 inch HDTV"", ""Wifi"", ""First aid kit"", ""Body soap"", ""Pack \u2019n play/Travel crib"", ""Long term stays allowed"", ""Cleaning products"", ""Extra pillows and blankets"", ""BBQ grill"", ""Fire extinguisher"", ""Barbecue utensils"", ""Hair dryer"", ""Bed linens"", ""Hot water kettle"", ""Bathtub"", ""Essentials"", ""Smart lock"", ""Self check-in"", ""Coffee maker: Nespresso"", ""Freezer"", ""Dishwasher"", ""Shower gel"", ""Dishes and silverware"", ""Toaster"", ""Heating"", ""Baking sheet"", ""Free washer \u2013 In unit"", ""Dining table"", ""Iron"", ""Free dryer \u2013 In unit"", ""Samsung stainless steel electric stove"", ""Hot water"", ""Ceiling fan"", ""Conditioner"", ""Free street parking"", ""Smoke alarm"", ""Cooking basics"", ""Private patio or balcony"", ""Shampoo"", ""Kitchen"", ""Room-darkening shades""]",198.4130841,t,22/06/2021,29/06/2024,f,1,1,4,2.1,2,2.6,3,1125,3,1125,0,0,0,0,4,0,4.94,4.94,4.92,4.94,4.97,4.91,4.87,1,2.11
147,147,9/11/2024,city scrape,Cozy upstairs apartment - 5 blocks from downtown,"License Number: STR22-00046.<br /><br />Second story apartment with large deck and living space. 5 minute walk to downtown shops and restaurants. We are about an hour and a half to two hours from two entrances to Yellowstone National Park. Private parking space and entrance off of the alley.  This unit has a full bathroom, full queen bedroom, and kitchenette. The owners live in the downstairs portion of the house with their baby and golden retriever.",Kelsey,2/10/2014,"Bozeman, MT","Hey there!  We are Kelsey and Zeph. We are Bozeman residents of 14 years, and we live in the main part of the house with our golden retriever and baby. We look forward to hosting you!",within an hour,100%,1,t,"['email', 'phone']",t,f,Bozeman,Entire guest suite,Entire home/apt,"[""Refrigerator"", ""Private entrance"", ""Portable fans"", ""Hangers"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Microwave"", ""Wifi"", ""Clothing storage"", ""First aid kit"", ""TV"", ""Cleaning products"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Hair dryer"", ""Bed linens"", ""Hot water kettle"", ""Bathtub"", ""Essentials"", ""Window AC unit"", ""Self check-in"", ""Freezer"", ""Dishes and silverware"", ""Coffee maker: drip coffee maker"", ""Toaster"", ""Heating"", ""Dining table"", ""Hot water"", ""Ceiling fan"", ""Free street parking"", ""Smoke alarm"", ""Cooking basics"", ""Private patio or balcony"", ""Keypad"", ""Kitchen""]",128,t,19/06/2020,6/11/2024,f,2,2,2,1,1,1,2,1125,2,1125,7,27,57,147,50,5,4.92,4.94,4.95,4.97,4.98,4.92,4.85,1,4.47
148,148,9/11/2024,city scrape,Lindley House,"Free, fast Wi-Fi for remote learning/working needs. Keyless self check-in. Ionizing fogger sterilization between rentals in addition to Covid cleaning protocols to keep you (and us) safe!",Paul,17/08/2013,"Bozeman, MT","I started Bozeman Cottage Vacation Rentals in 1998 which has now grown to 17 properties, mostly within walking distance from downtown Bozeman. I also work in renewable energy - solar thermal, permaculture, electric bikes, and biofuels - and strive to keep Bozeman Cottage low impact.  I stock the houses with non-toxic body products and cleaners, and are as efficient as possible with heating and cooling.  I also run a bicycle rental business so you can easily and affordably see Bozeman on 2-wheels!

Note: I manage a few different guest houses and reviews are shown collectively for all places. The few reservations that had to be cancelled over the years were mostly due to date conflicts when calendars failed to update automatically. The July 2016 reservation was cancelled when the guests revealed that they had two cats after using autobook, for which Airbnb charged me 100, so unfortunately I no longer use autobook.",within an hour,90%,0.99,t,"['email', 'phone']",t,t,Bozeman,Entire home,Entire home/apt,"[""Refrigerator"", ""Private entrance"", ""Patio or balcony"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Microwave"", ""Books and reading material"", ""Wifi"", ""Stove"", ""Pack \u2019n play/Travel crib"", ""TV"", ""Coffee maker"", ""BBQ grill"", ""Fire extinguisher"", ""Keypad"", ""Hair dryer"", ""Bed linens"", ""Bathtub"", ""Dryer"", ""Essentials"", ""Self check-in"", ""Dishwasher"", ""Private backyard \u2013 Not fully fenced"", ""Dishes and silverware"", ""Dedicated workspace"", ""Toaster"", ""Heating"", ""Washer"", ""Oven"", ""Iron"", ""Smoke alarm"", ""Cooking basics"", ""Air conditioning"", ""Shampoo"", ""Kitchen""]",741,t,15/02/2021,13/10/2024,f,22,38,4.5,1.6,6,2.3,3,1125,5,1125,17,25,53,236,4,1,5,5,5,5,5,5,4.88,3,0.35
149,149,9/11/2024,city scrape,Legend's Luxury Townhouse,"Free, fast WiFi for remote learning/working needs. Keyless self check-in. Central AC.",Paul,17/08/2013,"Bozeman, MT","I started Bozeman Cottage Vacation Rentals in 1998 which has now grown to 17 properties, mostly within walking distance from downtown Bozeman. I also work in renewable energy - solar thermal, permaculture, electric bikes, and biofuels - and strive to keep Bozeman Cottage low impact.  I stock the houses with non-toxic body products and cleaners, and are as efficient as possible with heating and cooling.  I also run a bicycle rental business so you can easily and affordably see Bozeman on 2-wheels!

Note: I manage a few different guest houses and reviews are shown collectively for all places. The few reservations that had to be cancelled over the years were mostly due to date conflicts when calendars failed to update automatically. The July 2016 reservation was cancelled when the guests revealed that they had two cats after using autobook, for which Airbnb charged me 100, so unfortunately I no longer use autobook.",within an hour,90%,0.99,t,"['email', 'phone']",t,t,Bozeman,Entire townhouse,Entire home/apt,"[""Refrigerator"", ""Private entrance"", ""Patio or balcony"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Microwave"", ""Books and reading material"", ""Wifi"", ""Mountain view"", ""Indoor fireplace"", ""Stove"", ""Pack \u2019n play/Travel crib"", ""TV"", ""Coffee maker"", ""BBQ grill"", ""Fire extinguisher"", ""Keypad"", ""Hair dryer"", ""Bed linens"", ""Bathtub"", ""Dryer"", ""Essentials"", ""Self check-in"", ""Dishwasher"", ""Dishes and silverware"", ""Dedicated workspace"", ""Toaster"", ""Heating"", ""Washer"", ""Oven"", ""Iron"", ""Smoke alarm"", ""Cooking basics"", ""Air conditioning"", ""Shampoo"", ""Kitchen""]",375,t,29/11/2020,24/06/2024,f,22,38,4,2,2,2,4,1125,5.6,1125,23,53,83,351,1,0,4.9,4.9,4.82,4.9,5,4.9,4.9,3,0.23
150,150,9/11/2024,city scrape,Northside Modern Farmhouse,"Free, fast WiFi for remote learning/working needs. Keyless self check-in.",Paul,17/08/2013,"Bozeman, MT","I started Bozeman Cottage Vacation Rentals in 1998 which has now grown to 17 properties, mostly within walking distance from downtown Bozeman. I also work in renewable energy - solar thermal, permaculture, electric bikes, and biofuels - and strive to keep Bozeman Cottage low impact.  I stock the houses with non-toxic body products and cleaners, and are as efficient as possible with heating and cooling.  I also run a bicycle rental business so you can easily and affordably see Bozeman on 2-wheels!

Note: I manage a few different guest houses and reviews are shown collectively for all places. The few reservations that had to be cancelled over the years were mostly due to date conflicts when calendars failed to update automatically. The July 2016 reservation was cancelled when the guests revealed that they had two cats after using autobook, for which Airbnb charged me 100, so unfortunately I no longer use autobook.",within an hour,90%,0.99,t,"['email', 'phone']",t,t,Bozeman,Entire home,Entire home/apt,"[""Refrigerator"", ""Private entrance"", ""Patio or balcony"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Microwave"", ""Books and reading material"", ""Wifi"", ""Indoor fireplace"", ""Stove"", ""Pack \u2019n play/Travel crib"", ""TV"", ""Coffee maker"", ""BBQ grill"", ""Fire extinguisher"", ""Keypad"", ""Hair dryer"", ""Bed linens"", ""Bathtub"", ""Dryer"", ""Essentials"", ""Self check-in"", ""Dishwasher"", ""Dishes and silverware"", ""Dedicated workspace"", ""Toaster"", ""Heating"", ""Washer"", ""Oven"", ""Smoke alarm"", ""Cooking basics"", ""Shampoo"", ""Kitchen""]",346,t,19/09/2020,2/4/2024,f,22,38,5,2,2,3,4,1125,5.3,1125,23,39,69,209,2,0,5,4.9,4.9,4.9,4.8,4.9,4.9,3,0.2
151,151,9/11/2024,city scrape,Peach Street Guesthouse | Best Location in BZN,"Garden Guesthouse in Bozeman's best neighborhood. Walking distance to downtown. Two blocks away from Bozeman Brewing and Mountains Walking Brewery. Right across the street from Wild Crumb Bakery (best bakery EVER) and Fink's Deli . 20 minute drive to Bridger Bowl Ski Resort so that you can have first tracks! The neighborhood is amazing and authentic. Experience Bozeman like a local. <br /><br />We have a garden and 4 chickens on the property. They will say hello, you have been warned!",Emily,18/07/2017,"Bozeman, MT","Hello there, my name is Emily :)
I live with my partner, Ben.

We love to climb mountains, ski & snowboard, go fishing and get outside as much as we can. Bozeman has access to endless amounts of outdoor recreation, which is one of the main reasons we both ended up in this mountain town.

We are both in the hospitality industry. Ben is a product designer and I am in marketing. 

We are passionate about becoming great hosts and sharing the place that we call home. Please feel free to reach out to us if you have any questions. 

We look forward to having you as our guest! 

Welcome to Bozeman!",within an hour,100%,1,t,"['email', 'phone']",t,t,Bozeman,Entire guesthouse,Entire home/apt,"[""Refrigerator"", ""Private entrance"", ""Portable fans"", ""Hangers"", ""Game console"", ""Carbon monoxide alarm"", ""Outdoor dining area"", ""Garden view"", ""Fast wifi \u2013 240 Mbps"", ""Stove"", ""Lockbox"", ""First aid kit"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Barbecue utensils"", ""Hair dryer"", ""Essentials"", ""Coffee maker: pour-over coffee"", ""Portable air conditioning"", ""Self check-in"", ""Freezer"", ""Fire pit"", ""Shower gel"", ""Dishes and silverware"", ""Dedicated workspace"", ""Heating"", ""Baking sheet"", ""TV with Hulu, Netflix, Roku"", ""Oven"", ""Hot water"", ""Conditioner"", ""Free street parking"", ""Smoke alarm"", ""Cooking basics"", ""Shared backyard \u2013 Fully fenced"", ""Shampoo"", ""Kitchen""]",125,t,6/9/2020,29/10/2024,f,1,1,3,1,1,1,2,1125,1.4,1125,0,3,33,123,46,4,4.95,4.96,4.99,4.95,4.97,4.96,4.85,1,4.34
152,152,9/11/2024,city scrape,*Luxury+Romance Downtown* Absolutely Dreamy Shower,"The V2 Suite at Vintage offers a splendid stay experience in Beautiful Downtown Bozeman, Montana. Step into a space that is exceptionally furnished, luxurious, and complete with all the details necessary for a relaxing and sophisticated stay. Located one block away from beautiful Main Street, V2 is close to the wonderful restaurants, shopping, art galleries, and nightlife Downtown has to offer. This property is also in a perfect location to get outdoors with many activities nearby!<br /><br />STR23-00095",VR Bozeman,24/01/2018,"Bozeman, MT","VR Bozeman | Vacations Rentals is local & professional Vacation Rental management team striving to blend constancy and cleanliness + hospitality of a hotel and the privacy + personality of a Vacation Rental. 

Our team of friendly, professionals are here to assist you with your questions. 

Unwritten & Company | Reservations & Guest Services 

At your service,

VR Bozeman | Vacation Rentals
A Beautiful Way To Stay!",within an hour,100%,1,t,"['email', 'phone', 'work_email']",t,t,Bozeman,Entire condo,Entire home/apt,"[""65 inch HDTV"", ""Private entrance"", ""Hangers"", ""Bosch refrigerator"", ""Carbon monoxide alarm"", ""Bosch electric stove"", ""Free driveway parking on premises \u2013 1 space"", ""Microwave"", ""Outdoor furniture"", ""Exterior security cameras on property"", ""Long term stays allowed"", ""Tarocco conditioner"", ""Cleaning products"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Hair dryer"", ""Bed linens"", ""Hot water kettle"", ""Essentials"", ""Bosch stainless steel oven"", ""Tarocco body soap"", ""Fast wifi \u2013 55 Mbps"", ""Freezer"", ""Dishwasher"", ""Self check-in"", ""Dishes and silverware"", ""Toaster"", ""Baking sheet"", ""Free washer \u2013 In unit"", ""Central heating"", ""Wine glasses"", ""Coffee maker: drip coffee maker, french press"", ""Iron"", ""Free dryer \u2013 In unit"", ""Central air conditioning"", ""Coffee"", ""Hot water"", ""Ceiling fan"", ""Tarocco shampoo"", ""Free street parking"", ""Smoke alarm"", ""Cooking basics"", ""Private patio or balcony"", ""Keypad"", ""Kitchen"", ""Room-darkening shades""]",197,t,12/7/2020,4/11/2024,f,7,10,2,1,1,1,1,30,1.9,1125,19,19,19,19,24,1,4.96,4.98,4.97,4.96,4.97,4.97,4.83,7,2.07
153,153,9/11/2024,city scrape,*Downtown for 4* Upscale + Walk to everything!,"The V1 Suite at Vintage House offers a splendid rental experience in Beautiful Downtown Bozeman, Montana. Step into a space that is exceptionally furnished, luxurious, and inclusive of the details necessary for a relaxing and sophisticated stay. Just located around the corner from beautiful Main Street this property is close to all the wonderful restaurants, shopping, art galleries, and night life Downtown has to offer. A perfect location to get outdoors, with activities all around!<br /><br />STR23-00095",VR Bozeman,24/01/2018,"Bozeman, MT","VR Bozeman | Vacations Rentals is local & professional Vacation Rental management team striving to blend constancy and cleanliness + hospitality of a hotel and the privacy + personality of a Vacation Rental. 

Our team of friendly, professionals are here to assist you with your questions. 

Unwritten & Company | Reservations & Guest Services 

At your service,

VR Bozeman | Vacation Rentals
A Beautiful Way To Stay!",within an hour,100%,1,t,"['email', 'phone', 'work_email']",t,t,Bozeman,Entire rental unit,Entire home/apt,"[""Private entrance"", ""Hangers"", ""Carbon monoxide alarm"", ""Outdoor dining area"", ""Free driveway parking on premises \u2013 1 space"", ""Microwave"", ""Exterior security cameras on property"", ""Long term stays allowed"", ""Whirlpool Mini Fridge - Under counter refrigerator"", ""Tarocco conditioner"", ""Cleaning products"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""60 inch HDTV"", ""Bed linens"", ""Hair dryer"", ""City skyline view"", ""Hot water kettle"", ""Essentials"", ""Tarocco body soap"", ""Self check-in"", ""Dishwasher"", ""Dishes and silverware"", ""Toaster"", ""Single level home"", ""Clothing storage: closet"", ""Free washer \u2013 In unit"", ""Central heating"", ""Wine glasses"", ""Coffee maker: drip coffee maker, french press"", ""Iron"", ""Free dryer \u2013 In unit"", ""Central air conditioning"", ""Mini fridge"", ""Hot water"", ""Ceiling fan"", ""Tarocco shampoo"", ""Fast wifi \u2013 62 Mbps"", ""Coffee"", ""Free street parking"", ""Smoke alarm"", ""Cooking basics"", ""Private patio or balcony"", ""Keypad"", ""Kitchen"", ""Room-darkening shades""]",190,t,15/08/2020,2/11/2024,f,7,10,4,1,2,2,1,360,1.9,1125,18,18,18,18,9,1,4.86,4.95,4.96,4.98,5,4.99,4.65,7,1.55
154,154,9/11/2024,city scrape,BozemanAir - Montana Main House,"Come stay in our brand new 2020 home just minutes from Montana State University. With room for the whole family, you'll enjoy the comforts of home and live like a Bozeman local. We are Montana natives and pride ourselves on offering you the best Airbnb experience possible. Reach out with any questions at all. We are super hosts and the property is family owned and operated. Need a car? Ask about our minivan on Turo. Let us show you our 5 star hospitality.",Lisa,26/10/2019,"Bozeman, MT","Born and raised in Helena, Montana I spent the majority of my life in the big sky state before heading off to college. My sister and brother and their families all are in Bozeman and my parents too. Montana is family and we can't wait to welcome you into ours. ",within an hour,100%,1,f,"['email', 'phone']",t,t,Bozeman,Entire home,Entire home/apt,"[""Refrigerator"", ""Luggage dropoff allowed"", ""Coffee maker: Keurig coffee machine"", ""Private entrance"", ""Hangers"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Microwave"", ""Game console: Nintendo Switch"", ""Rice maker"", ""Clothing storage: walk-in closet, closet, and dresser"", ""Outdoor furniture"", ""Wifi"", ""Blender"", ""Exterior security cameras on property"", ""First aid kit"", ""Body soap"", ""Kitchenaid stainless steel electric stove"", ""Pack \u2019n play/Travel crib"", ""Long term stays allowed"", ""Cleaning products"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""55 inch HDTV with Amazon Prime Video, Disney+, HBO Max, Hulu, Netflix"", ""Bed linens"", ""Hair dryer"", ""Trash compactor"", ""Bread maker"", ""Bathtub"", ""Dryer"", ""Essentials"", ""Smart lock"", ""Private hot tub"", ""Self check-in"", ""Kitchenaid stainless steel oven"", ""Freezer"", ""Dishwasher"", ""Dishes and silverware"", ""Toaster"", ""Heating"", ""Baking sheet"", ""Free washer \u2013 In unit"", ""Wine glasses"", ""Sound system"", ""Dining table"", ""Iron"", ""Bikes"", ""Indoor fireplace: electric"", ""Crib"", ""Central air conditioning"", ""Hot water"", ""Ceiling fan"", ""Conditioner"", ""Coffee"", ""Free street parking"", ""Smoke alarm"", ""Cooking basics"", ""Private patio or balcony"", ""Shared backyard \u2013 Fully fenced"", ""Shampoo"", ""Kitchen"", ""Room-darkening shades""]",999,t,13/06/2021,30/09/2024,f,6,9,4.5,2.5,4,2.3,30,1125,30,1125,29,59,89,106,4,0,4.96,4.96,4.96,4.87,4.96,4.96,4.87,2,0.55
155,155,9/11/2024,city scrape,Modern ADU In Bozeman South Side Historic,"Modern ADU in South Side Historic District.  3 Blocks from Main Street! Parking right outside your private entrance.  House is self contained with cookware, utensils, etc. <br />WiFi, cable TV<br />Air Conditioned <br /><br />Hot tub in main house back yard.  <br />Outdoor Barrel Sauna<br />Cold Plunge (Summer Only)<br />Peloton in Garage<br /><br />BBQ available <br /><br />My goal is to make your stay as fun and comfortable as possible.  If you need anything,  just ask!",Arne,26/06/2016,"Bozeman, MT",Hello! I've been an airbnb host and traveler for many years.,within an hour,100%,1,f,"['email', 'phone', 'work_email']",t,f,Bozeman,Entire guesthouse,Entire home/apt,"[""Refrigerator"", ""Private entrance"", ""Hangers"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Microwave"", ""Books and reading material"", ""Rice maker"", ""Wifi"", ""Indoor fireplace"", ""Cleaning available during stay"", ""Lockbox"", ""Body soap"", ""Coffee maker: Keurig coffee machine, Nespresso, pour-over coffee"", ""Pets allowed"", ""Tea Tree shampoo"", ""Extra pillows and blankets"", ""BBQ grill"", ""Fire extinguisher"", ""Hair dryer"", ""Bed linens"", ""Dryer"", ""Essentials"", ""Self check-in"", ""Freezer"", ""Dishwasher"", ""Shower gel"", ""Dishes and silverware"", ""Fire pit"", ""Heating"", ""Baking sheet"", ""Washer"", ""Exercise equipment: free weights, stationary bike, yoga mat"", ""Gas stove"", ""Kitchen"", ""Tea Tree conditioner"", ""Bose sound system"", ""Backyard"", ""Oven"", ""AC - split type ductless system"", ""Hot water"", ""Ceiling fan"", ""Smoke alarm"", ""Cooking basics"", ""Shared hot tub"", ""TV with standard cable""]",285,t,9/10/2020,13/10/2024,f,1,2,3,1,1,2.3,2,90,2,90,23,33,33,269,25,1,4.98,4.97,4.94,4.98,5,5,4.89,1,1.27
156,156,9/11/2024,city scrape,Woodland Loft - Centrally Located Luxury,"Welcome to one of the more sought after vacation rentals in Bozeman! The Woodland Loft was professionally and purposefully designed to be a refreshing haven. With details that were anything but an afterthought, this retreat lends itself to easy living. Tucked on a quiet street near the main thoroughfares, guests will enjoy coffee or a glass of wine on the private balcony overlooking mountain views. Creative and thoughtful touches of modern comfort and convenience are found throughout the unit.",Luke,10/10/2018,"Bozeman, MT","Hello, my name is Luke!

I am passionate about Jesus, travel, adventure, mountains and waves! I love meeting new people and hearing about the stories and lives of others. ",within a day,98%,0.95,f,"['email', 'phone']",t,t,Bozeman,Entire rental unit,Entire home/apt,"[""Refrigerator"", ""Private entrance"", ""Hangers"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Microwave"", ""Outdoor furniture"", ""Stove"", ""Exterior security cameras on property"", ""Pack \u2019n play/Travel crib"", ""TV"", ""Coffee maker"", ""Long term stays allowed"", ""Cleaning products"", ""Fire extinguisher"", ""Keypad"", ""Hair dryer"", ""Bed linens"", ""Essentials"", ""EV charger"", ""Self check-in"", ""Freezer"", ""Dishwasher"", ""Dishes and silverware"", ""Dedicated workspace"", ""Heating"", ""Wifi \u2013 45 Mbps"", ""Board games"", ""Iron"", ""Hot water"", ""Conditioner"", ""Smoke alarm"", ""Cooking basics"", ""Private patio or balcony"", ""Air conditioning"", ""Shampoo"", ""Kitchen""]",145,t,7/9/2020,8/11/2024,t,1,2,2,1,1,1,1,1125,1,1125,14,27,57,147,15.6,1,4.99,4.99,4.99,5,4.99,4.9,4.87,1,1.8
157,157,9/11/2024,city scrape,Cozy Home in the Heart of Downtown,This is our primary home that we make available while we are away adventuring other areas of the world.,Katie,13/12/2019,"Bozeman, MT",Hello! I've been an airbnb host and traveler for many years.,within an hour,100%,1,t,"['email', 'phone']",t,t,Bozeman,Entire home,Entire home/apt,"[""Refrigerator"", ""Private entrance"", ""Hangers"", ""Children\u2019s books and toys"", ""Free parking on premises"", ""Microwave"", ""Blender"", ""Mountain view"", ""Cleaning available during stay"", ""Samsung stainless steel gas stove"", ""Fast wifi \u2013 327 Mbps"", ""Coffee maker"", ""Long term stays allowed"", ""Cleaning products"", ""Kirkland conditioner"", ""Extra pillows and blankets"", ""BBQ grill"", ""Barbecue utensils"", ""Hair dryer"", ""Bed linens"", ""Hot water kettle"", ""Kirkland shampoo"", ""Bathtub"", ""Essentials"", ""Portable air conditioning"", ""Self check-in"", ""Freezer"", ""Babysitter recommendations"", ""Dishwasher"", ""Dishes and silverware"", ""Toaster"", ""Clothing storage: closet"", ""Heating"", ""Baking sheet"", ""Free washer \u2013 In unit"", ""Board games"", ""Dining table"", ""Iron"", ""Stainless steel single oven"", ""Free dryer \u2013 In unit"", ""Coffee"", ""Hot water"", ""Smoke alarm"", ""Cooking basics"", ""Keypad"", ""Kitchen"", ""Room-darkening shades""]",97,t,18/12/2020,24/10/2024,f,9,13,5,1,3,3,2,1125,23.7,1125,16,39,46,46,45,2,4.9,4.76,4.9,4.98,4.94,4.89,4.72,5,1.96
158,158,9/11/2024,city scrape,"Cozy & Luxe ""Lagom1Stay"" Top Floor Loft Downtown","This cozy ""Lagom"" loft is a well appointed stay. A short walk to downtown Bozeman & MSU. Enjoy the local foodie & shopping scenes. Venture to Yellowstone National Park. Enjoy unforgettable Montana experiences hiking & biking in the mountains or fishing in the rivers. Hit the local world class Big Sky Ski Resort or Bridger Bowl, & soak in local Hot Springs. Retire in luxury & comfort while watching the sun peak over the Mountains from your private balcony. City Hosting Permit Number #STR20-00391",Abigail,4/2/2019,"Bozeman, MT","We are Abigail & Eric! We are excited to have you stay! Born & raised Montanans, designer & builder come together to create a beautiful Montana experience just for you.  We are excited to help you navigate Montana & can send a guide on what to bring based on what adventures you plan on having. We have recommendations galore! Want to go skiing, hiking, have day trips, or enjoy fishing? Go out & have an incredible meal, enjoy local walks, & events? We are happy to assist. Montana is truly ""Big Sky"" country & has the ability to take your breath away. These trips are memories which last. 

Our family enjoys an array of outdoor adventures & love traveling to experience local moments wherever we go. We ski, snowboard, ice-skate, sled, hike, & dip into hot springs. On our hikes we love waterfalls & enjoy sitting around a fire in the mountains sipping on honey tea. Life is a sensory experience & we are thrilled to share these beautiful places we enjoy immensely with you. ",within an hour,100%,0.99,t,"['email', 'phone']",t,t,Bozeman,Entire condo,Entire home/apt,"[""Children\u2019s dinnerware"", ""Private entrance"", ""Hangers"", ""Carbon monoxide alarm"", ""Stainless steel oven"", ""Microwave"", ""Books and reading material"", ""Outdoor furniture"", ""Wifi"", ""Blender"", ""Mountain view"", ""Drying rack for clothing"", ""Clothing storage: walk-in closet and closet"", ""Whirlpool refrigerator"", ""Exterior security cameras on property"", ""First aid kit"", ""Long term stays allowed"", ""Cleaning products"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Free parking garage on premises \u2013 1 space"", ""Outlet covers"", ""Hair dryer"", ""Bed linens"", ""City skyline view"", ""Pack \u2019n play/Travel crib - available upon request"", ""Stainless steel electric stove"", ""Super Nature - Sulfate, Paraben, & Dye Free conditioner"", ""Hot water kettle"", ""Essentials"", ""Children\u2019s books and toys for ages 2-5 years old, 5-10 years old, and 10+ years old"", ""Smart lock"", ""Self check-in"", ""Freezer"", ""Dishwasher"", ""Shower gel"", ""Dishes and silverware"", ""Dedicated workspace"", ""Toaster"", ""Elevator"", ""Baking sheet"", ""Free washer \u2013 In unit"", ""Central heating"", ""Board games"", ""Wine glasses"", ""40 inch HDTV with DVD player, Hulu, Disney+"", ""Coffee maker: drip coffee maker, french press"", ""Iron"", ""Free dryer \u2013 In unit"", ""Central air conditioning"", ""Coffee"", ""Hot water"", ""Private patio or balcony"", ""Free street parking"", ""Smoke alarm"", ""Cooking basics"", ""Neutrogena body soap"", ""Super Nature - Sulfate, Paraben, & Dye Free shampoo"", ""Kitchen"", ""Room-darkening shades""]",178,t,21/07/2022,4/11/2024,f,1,1,4,1,1,2,2,28,2,1125,19,38,68,118,58,2,4.99,5,5,4.95,5,4.97,4.94,1,5.12
159,159,9/11/2024,city scrape,GREAT Location in Downtown Bozeman!,"Conveniently located in downtown Bozeman. Walking distance to shopping, restaurants, coffee shops, bars, nightlife. Centrally located for easy access to Bridger Bowl, Big Sky, and other outdoor activities. Designated, free parking space.",John,19/09/2020,"Bozeman, MT",Hello! I've been an airbnb host and traveler for many years.,within an hour,100%,1,t,['phone'],t,f,Bozeman,Entire condo,Entire home/apt,"[""Refrigerator"", ""Private entrance"", ""Hangers"", ""Patio or balcony"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Wifi"", ""First aid kit"", ""TV"", ""Fire extinguisher"", ""Hair dryer"", ""Dryer"", ""Essentials"", ""Smart lock"", ""Self check-in"", ""Dishes and silverware"", ""Heating"", ""Washer"", ""Iron"", ""Hot water"", ""Free street parking"", ""Smoke alarm"", ""Air conditioning"", ""Shampoo"", ""Kitchen""]",129,t,19/10/2020,4/11/2024,t,1,1,4,1,1,2,2,1125,2,1125,12,33,61,261,61,1,4.94,4.96,4.88,4.86,4.94,4.95,4.88,1,4.61
